FedEx Ground and FedEx Home Delivery Standard List Rates -- Zone 3,,,,,,,,,,
"Effective 01/05/2009",,,,,,,,,,

FedEx Home Delivery is for shipments up to 70lbs.

Weight,Zone 3
1,$4.70 
2,$4.94 
3,$5.17 
4,$5.36 
5,$5.44 
6,$5.61 
7,$5.78 
8,$5.97 
9,$6.15 
10,$6.19 
11,$6.48 
12,$6.69 
13,$6.91 
14,$7.13 
15,$7.35 
16,$7.47 
17,$7.71 
18,$7.96 
19,$8.22 
20,$8.49 
21,$8.76 
22,$9.02 
23,$9.29 
24,$9.53 
25,$9.79 
26,$10.02 
27,$10.25 
28,$10.50 
29,$10.70 
30,$10.97 
31,$11.19 
32,$11.43 
33,$11.69 
34,$11.95 
35,$12.23 
36,$12.40 
37,$12.68 
38,$12.88 
39,$13.13 
40,$13.42 
41,$13.64 
42,$13.83 
43,$14.08 
44,$14.31 
45,$14.57 
46,$14.80 
47,$14.97 
48,$15.19 
49,$15.38 
50,$15.56 
51,$15.70 
52,$15.83 
53,$16.00 
54,$16.14 
55,$16.28 
56,$16.43 
57,$16.60 
58,$16.78 
59,$16.96 
60,$17.14 
61,$17.30 
62,$17.44 
63,$17.61 
64,$17.79 
65,$17.99 
66,$18.21 
67,$18.40 
68,$18.59 
69,$18.77 
70,$18.95 
71,$19.36 
72,$20.13 
73,$20.83 
74,$21.53 
75,$22.26 
76,$22.92 
77,$23.57 
78,$24.20 
79,$24.86 
80,$25.58 
81,$26.12 
82,$26.76 
83,$27.31 
84,$27.97 
85,$28.65 
86,$29.29 
87,$29.98 
88,$30.67 
89,$31.35 
90,$32.03 
91,$32.74 
92,$33.42 
93,$34.10 
94,$34.78 
95,$35.47 
96,$36.15 
97,$36.83 
98,$37.43 
99,$38.03 
100,$38.65 
101,$39.26 
102,$39.87 
103,$40.50 
104,$41.11 
105,$41.75 
106,$42.38 
107,$43.03 
108,$43.66 
109,$44.30 
110,$44.96 
111,$45.47 
112,$45.98 
113,$46.51 
114,$47.04 
115,$47.58 
116,$48.10 
117,$48.63 
118,$49.17 
119,$49.71 
120,$50.24 
121,$50.79 
122,$51.32 
123,$51.86 
124,$52.42 
125,$52.96 
126,$53.51 
127,$54.06 
128,$54.63 
129,$55.18 
130,$55.73 
131,$56.30 
132,$56.86 
133,$57.43 
134,$57.99 
135,$58.57 
136,$59.12 
137,$59.70 
138,$60.27 
139,$60.86 
140,$61.45 
141,$62.01 
142,$62.60 
143,$63.18 
144,$63.76 
145,$64.36 
146,$64.94 
147,$65.54 
148,$66.12 
149,$66.72 
150,$67.33 


See the FedEx Service Guide for additional fee and surcharge information. ,,,,,,,,,,
